195484
0	319	0
394	523	320
707	1637	450
0	199	0
274	403	200
587	1517	330
0	539	0
600	828	540
0	787	0
3560	3969	788
16329	16415	1198
24729	26050	1285
26120	27091	2607
27161	27984	3579
28450	40543	4403
40605	40711	16497
40871	40951	16604
41088	41283	16685
41344	41643	16881
41710	42029	17181
42095	42556	17501
0	787	0
977	3969	788
5127	5202	3781
16329	16415	3857
24729	26050	3944
26120	27091	5266
27161	27984	6238
28450	40543	7062
40605	40711	19156
40871	40951	19263
41088	41283	19344
41344	41643	19540
41710	42029	19840
42095	42556	20160
0	791	0
3560	3969	792
24729	26050	1202
26120	27091	2524
27161	27984	3496
28450	40543	4320
40605	40711	16414
40871	40951	16521
41088	41283	16602
41344	41643	16798
41710	42029	17098
42095	42556	17418
0	787	0
3560	3969	788
16329	16415	1198
24729	26050	1285
26120	27091	2607
27161	27823	3579
27878	27984	4242
28450	40543	4349
40605	40711	16443
40871	40951	16550
41088	41283	16631
41344	41643	16827
41710	42029	17127
42095	44218	17447
0	787	0
3560	3969	788
24729	26050	1198
26120	27091	2520
27161	27984	3492
28450	40543	4316
40605	40711	16410
41088	41283	16517
41344	41643	16713
41710	42029	17013
42095	44365	17333
0	32	0
0	35	0
0	119	0
0	188	0
0	87	0
0	599	0
941	2262	600
2332	3303	1922
3373	4035	2894
4090	4196	3557
4662	16755	3664
16817	16923	15758
17300	17495	15865
17556	17855	16061
17922	18241	16361
18307	18768	16681
0	599	0
